uniqueid,dob,sex
1,21sep1936,1
2,08apr1916,2
3,17oct1924,1
4,01apr1995,2
5,28jun1997,1
6,22oct1949,1
7,31oct1991,1
8,27dec2011,2
9,01jan1935,2
10,29may1922,2
11,07nov1996,1
12,13jan1959,2
13,14jun1957,1
14,20apr1960,1
15,10dec1980,2
16,04may1955,1
17,17sep1987,2
18,09nov1916,1
19,15mar1915,2
20,30aug1968,2
21,03nov1977,2
22,11nov1924,2
23,05apr1948,2
24,04jan1986,1
25,26oct1955,2
26,21sep2001,1
27,03nov1950,1
28,31jan1975,1
29,13feb1992,1
30,12nov1984,1
31,12aug1937,2
32,02feb1948,1
33,17feb1938,1
34,31dec1912,1
35,09jul1913,2
36,06may1978,1
37,31dec1914,1
38,01oct2005,2
39,05oct1923,2
40,15jul1951,2
41,01jan2010,1
42,05jul1925,2
43,14jan1956,1
44,03jan1971,1
45,27jan1958,1
46,25sep1948,2
47,30nov1945,1
48,05nov1917,2
49,06sep1922,2
50,28nov1999,1
51,17aug1925,1
52,27sep1981,2
53,18jan2012,2
54,21apr1941,1
55,01jun1910,1
56,09may1956,1
57,29jul1995,1
58,23feb1980,2
59,12apr1956,2
60,31jul1989,1
61,26mar2010,2
62,08jul1938,2
63,04feb1926,2
64,05feb1919,2
65,01aug1990,1
66,13may2010,2
67,17jun1957,2
68,10jul1929,2
69,12sep1973,2
70,31oct1953,1
71,21sep1932,2
72,05feb1962,1
73,25jul1968,1
74,04mar2001,1
75,07may1977,2
76,25feb1942,2
77,02dec1931,2
78,10jan1967,2
79,16oct2000,2
80,25apr1947,2
81,16oct1964,1
82,18feb1923,1
83,13jan1989,2
84,27jan1949,2
85,02mar2000,1
86,03may1958,1
87,16dec1992,1
88,16jun1997,2
89,29aug2004,2
90,09feb1944,2
91,21nov2000,2
92,08oct1954,1
93,23jan1961,2
94,27jan2000,2
95,01dec1967,1
96,25mar1912,2
97,31dec2002,1
98,22nov1936,1
99,27feb1950,1
100,30jun1925,2
101,30oct1916,1
102,28nov1927,2
103,26mar1910,2
104,13apr1926,1
105,15jan1922,1
106,25sep1947,1
107,08oct1943,2
108,20dec1926,1
109,22jul2001,2
110,05jul2002,2
111,28jul1961,2
112,01jun1943,2
113,02dec1990,1
114,20nov1927,2
115,14apr1967,2
116,15aug1965,1
117,14oct1943,1
118,23sep1983,2
119,16oct1915,1
120,18aug1915,2
121,05jul1926,1
122,17jul1911,1
123,03mar1967,1
124,22feb1963,1
125,23jun1918,2
126,15apr1959,2
127,17jan2004,1
128,01dec1981,2
129,23apr1995,2
130,29aug1952,2
131,04jul1935,1
132,08jun1919,2
133,05jan1959,1
134,22aug1920,1
135,11jan1924,2
136,06aug1997,1
137,08jan1921,1
138,14jun1947,1
139,23dec1918,1
140,04apr1965,1
141,06jan2009,2
142,29feb1992,2
143,08jun1933,2
144,04apr2008,2
145,12aug2004,1
146,13aug1946,2
147,26mar1930,1
148,28jan1970,1
149,24apr1971,2
150,07jul1917,1
